index	timestamp	label
175	1608544726.40956	500113
236	1608544728.4424	500213
296	1608544730.4552	500313
357	1608544732.52342	500413
418	1608544734.54787	500513
478	1608544736.58191	500613
539	1608544738.60433	500713
600	1608544740.65497	500813
660	1608544742.6823	500913
721	1608544744.71576	501013
782	1608544746.74009	501113
842	1608544748.76634	501213
902	1608544750.81866	501313
1278	1608544763.45493	500109
1339	1608544765.48267	500209
1399	1608544767.50164	500309
1460	1608544769.53842	500409
1521	1608544771.58597	500509
1582	1608544773.62711	500609
1642	1608544775.63557	500709
1703	1608544777.68693	500809
1764	1608544779.72533	500909
2140	1608544792.31486	500105
2200	1608544794.34502	500205
2260	1608544796.36867	500305
2321	1608544798.41381	500405
2382	1608544800.43335	500505
2759	1608544813.05428	6001051
2819	1608544815.09687	6002051
2880	1608544817.13483	6003051
2941	1608544819.14449	6004051
3001	1608544821.19244	6005051
3588	1608544840.85198	6001131
3648	1608544842.87036	6002131
3709	1608544844.90291	6003131
3769	1608544846.91947	6004130
3830	1608544848.96957	6005131
3891	1608544850.995	6006130
3951	1608544853.02423	6007131
4012	1608544855.05465	6008130
4073	1608544857.08383	6009130
4133	1608544859.14628	6010130
4194	1608544861.15878	6011130
4255	1608544863.20522	6012130
4316	1608544865.24547	6013130
5140	1608544892.85681	6001131
5200	1608544894.89793	6002130
5261	1608544896.90146	6003130
5322	1608544898.94346	6004131
5382	1608544900.9763	6005130
5443	1608544903.01649	6006130
5504	1608544905.04887	6007130
5564	1608544907.07728	6008130
5625	1608544909.10077	6009130
5686	1608544911.15487	6010131
5746	1608544913.17426	6011130
5807	1608544915.19409	6012130
5868	1608544917.24919	6013130
6692	1608544944.83658	6001131
6753	1608544946.89764	6002131
6813	1608544948.90973	6003131
6873	1608544950.94538	6004131
6934	1608544952.98612	6005130
6995	1608544955.02367	6006130
7055	1608544957.04031	6007130
7116	1608544959.09026	6008130
7177	1608544961.11366	6009130
7238	1608544963.16297	6010130
7298	1608544965.18302	6011130
7359	1608544967.22267	6012130
7420	1608544969.23679	6013130
8242	1608544996.86755	6001091
8302	1608544998.90057	6002090
8363	1608545000.91421	6003090
8423	1608545002.9287	6004090
8484	1608545004.98646	6005090
8545	1608545007.02057	6006091
8605	1608545009.0533	6007090
8666	1608545011.09851	6008090
8727	1608545013.10163	6009090
9431	1608545036.74848	6001090
9492	1608545038.761	6002090
9552	1608545040.78355	6003090
9613	1608545042.80106	6004090
9674	1608545044.85639	6005090
9734	1608545046.88356	6006090
9795	1608545048.92118	6007090
9856	1608545050.96359	6008090
9916	1608545052.98088	6009090
10621	1608545076.61645	6001091
10682	1608545078.63108	6002090
10742	1608545080.64604	6003090
10803	1608545082.66951	6004090
10863	1608545084.71662	6005090
10924	1608545086.75337	6006090
10985	1608545088.7766	6007090
11045	1608545090.8129	6008090
11106	1608545092.86397	6009090
11811	1608545116.46574	6001090
11872	1608545118.50775	6002090
11932	1608545120.52546	6003090
11992	1608545122.55181	6004090
12053	1608545124.58715	6005090
12114	1608545126.61956	6006090
12174	1608545128.67283	6007090
12235	1608545130.69397	6008090
12296	1608545132.71522	6009090
13001	1608545156.33288	6001131
13061	1608545158.37871	6002131
13121	1608545160.3758	6003131
13182	1608545162.41925	6004130
13243	1608545164.46304	6005130
13303	1608545166.47391	6006131
13364	1608545168.52141	6007130
13425	1608545170.56248	6008130
13485	1608545172.60103	6009130
13546	1608545174.62845	6010130
13607	1608545176.64721	6011130
13667	1608545178.70044	6012130
13728	1608545180.70292	6013130
14546	1608545208.31747	6001051
14607	1608545210.3534	6002050
14667	1608545212.38194	6003050
14728	1608545214.43415	6004050
14788	1608545216.4458	6005050
15373	1608545236.06403	6001051
15434	1608545238.08479	6002051
15495	1608545240.11125	6003051
15555	1608545242.14288	6004051
15616	1608545244.18534	6005051
16201	1608545263.83152	6001051
16262	1608545265.87765	6002051
16323	1608545267.89031	6003051
16384	1608545269.94868	6004051
16444	1608545271.98025	6005051
17024	1608545291.5884	500113
17084	1608545293.62337	500213
17145	1608545295.63011	500313
17205	1608545297.67958	500413
17266	1608545299.69472	500513
17327	1608545301.75226	500613
17387	1608545303.78567	500713
17448	1608545305.80819	500813
17509	1608545307.85243	500913
17569	1608545309.83867	501013
17629	1608545311.88143	501113
17690	1608545313.92889	501213
17751	1608545315.96513	501313
18126	1608545328.54916	500105
18187	1608545330.56308	500205
18247	1608545332.56144	500305
18308	1608545334.63098	500405
18369	1608545336.65855	500505
18745	1608545349.26826	500109
18805	1608545351.29011	500209
18866	1608545353.3216	500309
18927	1608545355.36689	500409
18987	1608545357.36882	500509
19048	1608545359.41539	500609
19109	1608545361.45617	500709
19169	1608545363.48132	500809
19230	1608545365.51565	500909
21345	1608545436.39806	500113
21405	1608545438.43514	500213
21466	1608545440.4428	500313
21526	1608545442.46477	500413
21587	1608545444.51052	500513
21648	1608545446.55898	500613
21708	1608545448.5641	500713
21769	1608545450.60235	500813
21830	1608545452.6449	500913
21890	1608545454.67338	501013
21951	1608545456.71165	501113
22012	1608545458.73012	501213
22072	1608545460.79649	501313
22448	1608545473.35394	500105
22509	1608545475.40453	500205
22570	1608545477.45038	500305
22631	1608545479.47892	500405
22691	1608545481.513	500505
23067	1608545494.1173	500109
23127	1608545496.1619	500209
23186	1608545498.1472	500309
23247	1608545500.19596	500409
23307	1608545502.22115	500509
23368	1608545504.25148	500609
23429	1608545506.29997	500709
23489	1608545508.33943	500809
23550	1608545510.35854	500909
23926	1608545522.94725	6001091
23987	1608545525.00534	6002091
24047	1608545527.00647	6003091
24108	1608545529.00949	6004090
24168	1608545531.07223	6005090
24229	1608545533.12016	6006090
24290	1608545535.13742	6007090
24350	1608545537.17995	6008090
24411	1608545539.21131	6009090
25115	1608545562.8028	6001051
25176	1608545564.8648	6002051
25236	1608545566.86905	6003051
25296	1608545568.91884	6004051
25357	1608545570.94201	6005051
25942	1608545590.54742	6001131
26003	1608545592.59148	6002130
26064	1608545594.63905	6003130
26124	1608545596.65931	6004130
26185	1608545598.68561	6005130
26245	1608545600.70322	6006130
26306	1608545602.74377	6007131
26367	1608545604.77589	6008130
26427	1608545606.82403	6009130
26488	1608545608.84977	6010130
26549	1608545610.87029	6011130
26609	1608545612.91048	6012130
26664	1608545614.94883	6013130
27488	1608545642.56935	6001051
27549	1608545644.59212	6002051
27610	1608545646.63477	6003051
27670	1608545648.66824	6004051
27731	1608545650.69763	6005051
28317	1608545670.34454	6001131
28378	1608545672.36369	6002131
28438	1608545674.38135	6003131
28498	1608545676.4075	6004131
28559	1608545678.42616	6005131
28620	1608545680.48822	6006130
28680	1608545682.52052	6007130
28741	1608545684.54314	6008130
28802	1608545686.58465	6009130
28862	1608545688.60275	6010130
28923	1608545690.63715	6011130
28984	1608545692.66872	6012130
29044	1608545694.72392	6013130
29869	1608545722.33045	6001051
29929	1608545724.37763	6002051
29990	1608545726.40982	6003051
30051	1608545728.41969	6004051
30111	1608545730.47546	6005051
30697	1608545750.08269	6001051
30757	1608545752.0949	6002051
30818	1608545754.16445	6003051
30879	1608545756.1816	6004051
30939	1608545758.185	6005051
31524	1608545777.81486	6001091
31585	1608545779.85095	6002090
31646	1608545781.88321	6003090
31706	1608545783.9244	6004090
31767	1608545785.95504	6005090
31828	1608545787.9823	6006090
31888	1608545790.00433	6007090
31949	1608545792.06193	6008090
32010	1608545794.07749	6009090
32713	1608545817.73636	6001091
32774	1608545819.75911	6002090
32834	1608545821.77992	6003090
32895	1608545823.82073	6004090
32956	1608545825.8283	6005090
33016	1608545827.88302	6006090
33077	1608545829.91977	6007090
33138	1608545831.94878	6008090
33198	1608545833.98473	6009090
33900	1608545857.60749	6001131
33961	1608545859.63328	6002130
34022	1608545861.6595	6003130
34082	1608545863.70132	6004130
