index	timestamp	label
172	1602141463.12514	500109
233	1602141465.11417	500209
293	1602141467.17174	500309
354	1602141469.19992	500409
414	1602141471.23613	500509
475	1602141473.26913	500609
535	1602141475.28896	500709
596	1602141477.31515	500809
656	1602141479.33335	500909
1030	1602141491.9752	500105
1091	1602141494.0069	500205
1152	1602141496.05072	500305
1212	1602141498.09686	500405
1273	1602141500.10127	500505
1649	1602141512.7197	500113
1710	1602141514.73068	500213
1770	1602141516.77145	500313
1831	1602141518.80625	500413
1891	1602141520.83015	500513
1952	1602141522.84068	500613
2013	1602141524.90504	500713
2073	1602141526.91958	500813
2134	1602141528.96582	500913
2195	1602141530.97816	501013
2238	1602141533.03526	501113
2299	1602141535.0587	501213
2360	1602141537.06997	501313
2735	1602141549.72226	6001131
2795	1602141551.7503	6002131
2856	1602141553.76404	6003131
2916	1602141555.78794	6004131
2976	1602141557.84303	6005130
3037	1602141559.83826	6006130
3098	1602141561.89881	6007130
3158	1602141563.94788	6008130
3219	1602141565.9615	6009130
3280	1602141568.00762	6010130
3340	1602141570.05229	6011130
3401	1602141572.07426	6012130
3462	1602141574.10589	6013130
4286	1602141601.73121	6001051
4347	1602141603.78015	6002051
4407	1602141605.76492	6003051
4467	1602141607.77947	6004051
4527	1602141609.84385	6005051
5112	1602141629.41069	6001091
5172	1602141631.44437	6002091
5233	1602141633.48425	6003091
5294	1602141635.50529	6004091
5354	1602141637.56992	6005091
5415	1602141639.58605	6006090
5476	1602141641.60742	6007090
5536	1602141643.6531	6008090
5597	1602141645.69137	6009090
6300	1602141669.29081	6001051
6360	1602141671.35067	6002051
6421	1602141673.35782	6003051
6482	1602141675.38258	6004051
6542	1602141677.42257	6005051
7128	1602141697.04421	6001131
7189	1602141699.07135	6002131
7249	1602141701.0941	6003131
7309	1602141703.1262	6004131
7370	1602141705.16862	6005131
7431	1602141707.17502	6006131
7488	1602141709.24244	6007130
7549	1602141711.26432	6008130
7610	1602141713.30197	6009130
7671	1602141715.35333	6010130
7731	1602141717.34979	6011130
7792	1602141719.396	6012130
7853	1602141721.44541	6013130
8677	1602141749.05407	6001051
8737	1602141751.09199	6002051
8798	1602141753.11853	6003051
8858	1602141755.14606	6004051
8919	1602141757.16717	6005051
9504	1602141776.75754	6001131
9565	1602141778.82452	6002131
9624	1602141780.82357	6003131
9685	1602141782.85574	6004131
9746	1602141784.905	6005130
9806	1602141786.92054	6006130
9867	1602141788.99088	6007130
9928	1602141790.98891	6008130
9988	1602141793.0077	6009130
10049	1602141795.06924	6010130
10110	1602141797.09329	6011130
10170	1602141799.11975	6012130
10231	1602141801.18117	6013130
11048	1602141828.77955	6001091
11108	1602141830.8284	6002091
11168	1602141832.84863	6003090
11229	1602141834.87539	6004091
11290	1602141836.90565	6005091
11350	1602141838.96594	6006090
11411	1602141841.00332	6007091
11472	1602141842.99861	6008091
11531	1602141845.04403	6009091
12236	1602141868.69055	6001131
12297	1602141870.6914	6002130
12357	1602141872.71412	6003130
12418	1602141874.75794	6004130
12478	1602141876.79103	6005130
12539	1602141878.81214	6006130
12600	1602141880.85586	6007131
12661	1602141882.8781	6008130
12721	1602141884.89305	6009130
12782	1602141886.95477	6010130
12843	1602141888.97789	6011130
12902	1602141891.01958	6012130
12963	1602141893.04697	6013130
13787	1602141920.68934	6001091
13848	1602141922.70463	6002091
13907	1602141924.70088	6003091
13968	1602141926.74836	6004091
14028	1602141928.7645	6005091
14089	1602141930.81412	6006091
14150	1602141932.8635	6007090
14210	1602141934.82598	6008091
14270	1602141936.91683	6009090
14975	1602141960.50815	6001051
15036	1602141962.57599	6002051
15096	1602141964.57747	6003051
15157	1602141966.58868	6004051
15217	1602141968.62246	6005051
15801	1602141988.23299	6001091
15862	1602141990.24691	6002091
15923	1602141992.30424	6003091
15983	1602141994.35563	6004091
16044	1602141996.3521	6005091
16105	1602141998.40508	6006091
16165	1602142000.43275	6007091
16224	1602142002.45419	6008091
16285	1602142004.50072	6009091
16989	1602142028.11059	500109
17049	1602142030.16899	500209
17110	1602142032.21345	500309
17171	1602142034.22662	500409
17231	1602142036.24977	500509
17292	1602142038.27355	500609
17353	1602142040.32068	500709
17413	1602142042.34302	500809
17474	1602142044.39843	500909
17847	1602142056.99911	500105
17908	1602142059.03492	500205
17968	1602142061.04703	500305
18029	1602142063.08778	500405
18090	1602142065.1241	500505
18466	1602142077.72656	500113
18526	1602142079.71367	500213
18587	1602142081.78796	500313
18648	1602142083.80757	500413
18708	1602142085.85079	500513
18769	1602142087.90881	500613
18830	1602142089.89425	500713
18890	1602142091.96804	500813
18951	1602142093.96193	500913
19012	1602142096.02656	501013
19072	1602142098.0359	501113
19133	1602142100.10537	501213
19194	1602142102.13274	501313
20664	1602142151.47016	500109
20725	1602142153.48826	500209
20785	1602142155.52955	500309
20846	1602142157.55392	500409
20907	1602142159.59201	500509
20967	1602142161.6057	500609
21024	1602142163.63714	500709
21085	1602142165.67036	500809
21145	1602142167.71207	500909
21520	1602142180.30929	500113
21581	1602142182.3634	500213
21641	1602142184.37357	500313
21701	1602142186.40033	500413
21762	1602142188.44515	500513
21822	1602142190.48003	500613
21883	1602142192.52417	500713
21944	1602142194.53893	500813
22004	1602142196.56107	500913
22065	1602142198.58153	501013
22126	1602142200.66904	501113
22186	1602142202.63758	501213
22247	1602142204.67805	501313
22623	1602142217.28984	500105
22683	1602142219.31069	500205
22744	1602142221.44535	500305
22804	1602142223.3839	500405
22864	1602142225.39731	500505
23239	1602142237.9689	6001091
23300	1602142240.02494	6002091
23361	1602142242.04717	6003091
23421	1602142244.0625	6004091
23482	1602142246.13288	6005091
23543	1602142248.15337	6006091
23603	1602142250.19062	6007091
23664	1602142252.20142	6008091
23724	1602142254.23107	6009090
24429	1602142277.87544	6001091
24490	1602142279.92894	6002091
24551	1602142281.99329	6003091
24613	1602142284.01432	6004091
24674	1602142286.08825	6005090
24735	1602142288.12131	6006091
24796	1602142290.19322	6007090
24857	1602142292.23336	6008090
24918	1602142294.27917	6009091
25624	1602142317.93783	6001051
25683	1602142319.94849	6002051
25744	1602142321.96888	6003051
25804	1602142324.00038	6004051
25865	1602142326.03787	6005051
26450	1602142345.64329	6001131
26512	1602142347.69495	6002130
26572	1602142349.72457	6003130
26632	1602142351.76501	6004130
26693	1602142353.79143	6005130
26754	1602142355.81842	6006130
26814	1602142357.8581	6007130
26875	1602142359.88631	6008130
26936	1602142361.93376	6009130
26996	1602142363.94621	6010130
27057	1602142365.9735	6011130
27117	1602142368.01721	6012130
27178	1602142370.0394	6013130
27999	1602142397.67728	6001091
28060	1602142399.6941	6002091
28120	1602142401.68541	6003091
28181	1602142403.74519	6004091
28241	1602142405.76631	6005091
28302	1602142407.80984	6006090
28363	1602142409.84826	6007090
28423	1602142411.8597	6008090
28484	1602142413.92003	6009090
29186	1602142437.51431	6001051
29247	1602142439.55805	6002051
29307	1602142441.5898	6003051
29368	1602142443.60552	6004051
29429	1602142445.66137	6005051
30014	1602142465.26671	6001131
30075	1602142467.29876	6002130
30135	1602142469.35347	6003130
30196	1602142471.36665	6004130
30256	1602142473.38189	6005130
30317	1602142475.42161	6006130
30378	1602142477.46558	6007130
30438	1602142479.49406	6008130
30499	1602142481.53449	6009130
30560	1602142483.55982	6010130
30620	1602142485.61733	6011130
30680	1602142487.60007	6012130
30741	1602142489.63436	6013130
31563	1602142517.25972	6001051
31624	1602142519.30396	6002051
31685	1602142521.31124	6003051
31745	1602142523.36843	6004051
31806	1602142525.36267	6005051
32387	1602142544.99629	6001051
32448	1602142547.04025	6002051
32509	1602142549.07672	6003051
32569	1602142551.10675	6004051
32630	1602142553.14294	6005051
33213	1602142572.76906	6001131
33273	1602142574.7606	6002131
33334	1602142576.8151	6003130
33393	1602142578.8586	6004131
33453	1602142580.90977	6005130
33514	1602142582.91914	6006130
33575	1602142584.95056	6007130
33635	1602142587.00668	6008130
33696	1602142589.03439	6009130
33752	1602142591.07256	6010130
33812	1602142593.11102	6011130
33873	1602142595.14647	6012130
33934	1602142597.16661	6013130
34756	1602142624.78591	6001091
34816	1602142626.83311	6002091
34875	1602142628.85086	6003091
34935	1602142630.86034	6004091
34996	1602142632.88763	6005090
35057	1602142634.94298	6006090
35117	1602142636.92466	6007090
35178	1602142638.96996	6008090
35238	1602142641.00951	6009090
35943	1602142664.61289	6001131
36004	1602142666.67589	6002131
36064	1602142668.67039	6003131
36125	1602142670.70989	6004131
36185	1602142672.72708	6005130
36246	1602142674.77456	6006130
36307	1602142676.8137	6007130
36367	1602142678.84836	6008130
36428	1602142680.89389	6009130
36489	1602142682.93215	6010130
36549	1602142684.94214	6011130
36610	1602142686.97883	6012130
36671	1602142689.00812	6013130
37495	1602142716.61766	500109
37555	1602142718.64769	500209
37616	1602142720.67638	500309
37676	1602142722.72269	500409
37737	1602142724.73189	500509
37798	1602142726.74638	500609
37858	1602142728.82648	500709
37919	1602142730.85809	500809
37980	1602142732.8893	500909
38356	1602142745.48291	500113
38416	1602142747.52212	500213
38477	1602142749.52664	500313
38537	1602142751.56391	500413
38598	1602142753.55465	500513
38659	1602142755.61798	500613
38719	1602142757.67514	500713
38780	1602142759.7079	500813
38841	1602142761.70775	500913
38901	1602142763.76717	501013
38962	1602142765.8055	501113
39023	1602142767.83294	501213
39083	1602142769.84044	501313
39455	1602142782.45196	500105
39516	1602142784.51586	500205
39577	1602142786.50354	500305
39636	1602142788.56383	500405
39697	1602142790.59554	500505
41432	1602142848.83238	500105
41493	1602142850.88432	500205
41553	1602142852.91299	500305
41614	1602142854.9233	500405
41675	1602142856.94056	500505
42050	1602142869.57536	500109
42110	1602142871.59994	500209
42171	1602142873.63533	500309
42232	1602142875.65812	500409
42292	1602142877.69089	500509
42353	1602142879.70977	500609
42414	1602142881.77899	500709
42474	1602142883.80732	500809
42535	1602142885.83384	500909
42907	1602142898.42739	500113
42968	1602142900.48341	500213
43028	1602142902.50477	500313
43089	1602142904.51802	500413
43150	1602142906.58749	500513
43210	1602142908.59298	500613
43271	1602142910.64638	500713
43329	1602142912.67664	500813
43389	1602142914.68102	500913
43450	1602142916.72623	501013
43510	1602142918.77468	501113
43571	1602142920.80858	501213
43632	1602142922.80642	501313
44006	1602142935.43701	6001051
44067	1602142937.45943	6002051
44127	1602142939.45556	6003051
44188	1602142941.52598	6004051
44248	1602142943.55211	6005051
44834	1602142963.18487	6001131
44894	1602142965.20121	6002131
44955	1602142967.2532	6003131
45016	1602142969.25665	6004131
45077	1602142971.30096	6005131
45137	1602142973.34213	6006131
45198	1602142975.36629	6007130
45259	1602142977.39095	6008130
45319	1602142979.42615	6009130
45380	1602142981.46154	6010130
45440	1602142983.49264	6011130
45500	1602142985.53036	6012130
45561	1602142987.57069	6013130
46385	1602143015.17505	6001051
46446	1602143017.18385	6002051
46506	1602143019.2546	6003051
46567	1602143021.30184	6004051
46628	1602143023.31135	6005051
47213	1602143042.9348	6001130
47274	1602143044.95338	6002130
47335	1602143046.99471	6003130
47395	1602143049.04948	6004130
47456	1602143051.08211	6005130
47517	1602143053.09386	6006130
47577	1602143055.14136	6007130
47638	1602143057.14561	6008130
47699	1602143059.17506	6009130
47759	1602143061.25842	6010130
47820	1602143063.24094	6011130
47881	1602143065.29344	6012131
47941	1602143067.31869	6013130
48763	1602143094.95408	6001051
48824	1602143096.99416	6002051
48885	1602143098.99343	6003051
48946	1602143101.06362	6004051
49006	1602143103.07226	6005051
49592	1602143122.71256	6001131
49652	1602143124.73952	6002131
49712	1602143126.75459	6003131
49773	1602143128.78469	6004130
49834	1602143130.81983	6005131
49894	1602143132.84157	6006130
49955	1602143134.88115	6007131
50015	1602143136.90255	6008130
50076	1602143138.93088	6009130
50137	1602143140.98162	6010130
50197	1602143143.01239	6011130
50257	1602143145.03761	6012130
50318	1602143147.06233	6013130
51141	1602143174.69014	6001091
51202	1602143176.72064	6002091
51262	1602143178.74499	6003091
51323	1602143180.79851	6004090
51384	1602143182.80977	6005090
51444	1602143184.86903	6006090
51505	1602143186.8803	6007090
51566	1602143188.93505	6008090
51626	1602143190.93088	6009090
52330	1602143214.58125	6001131
52391	1602143216.61031	6002131
52451	1602143218.63451	6003131
52512	1602143220.65896	6004131
52573	1602143222.69476	6005131
52633	1602143224.74843	6006130
52694	1602143226.78235	6007130
52755	1602143228.81379	6008130
52815	1602143230.85809	6009130
52876	1602143232.85652	6010131
52937	1602143234.89773	6011130
52998	1602143236.93127	6012130
53058	1602143238.96672	6013130
53880	1602143266.60782	6001091
53941	1602143268.62716	6002091
54002	1602143270.66553	6003090
54062	1602143272.68997	6004090
54123	1602143274.71263	6005090
54183	1602143276.75492	6006090
54241	1602143278.7712	6007091
